,ID,Name,TF,MF,AUA,FD,CF,TSP
242,1002319674074333184,U,15,12,384,-1,['807202098102341632'],0.5833333333333334
243,1002309274410913798,e,26,11,384,-1,['807202098102341632'],0.6033333333333334
244,1000730962299322368,Z,15,13,388,-1,['807202098102341632'],0.6
245,759823321,m,613,2142835,2499,-1,['807202098102341632'],1.0
246,380035266,D,1070,98138,2824,-1,['807202098102341632'],1.0
247,62930111,j,724,1368354,3606,-1,['807202098102341632'],1.0
248,631303299,O,10678,550700,2536,-1,['807202098102341632'],1.0
249,52168389,O,900,1082818,3642,-1,['807202098102341632'],1.0
250,753988789777866753,l,4,103,1069,-1,['807202098102341632'],0.68
251,785807639032758272,v,137,38,981,-1,['807202098102341632'],1.0
252,912752161897041921,B,6,246,631,-1,['807202098102341632'],0.6866666666666666
253,2331423466,M,487,66867,1957,-1,['807202098102341632'],1.0
254,39538010,p,3,17776134,3690,-1,['807202098102341632'],0.6766666666666667
255,917781471477288960,I,6,425,617,-1,['807202098102341632'],0.6866666666666666
256,907602954471055360,T,137,307,645,-1,['807202098102341632'],1.0
257,800004647767408640,Z,422,3121,942,-1,['807202098102341632'],1.0
258,915116915797970944,m,63,34,624,-1,['807202098102341632'],0.8766666666666666
259,888088198987091968,I,51,26,699,-1,['807202098102341632'],0.8366666666666666
260,64929124,K,144468,2605639,3598,-1,['807202098102341632'],1.0
261,410409666,L,4603,4908470,2776,-1,['807202098102341632'],1.0
262,2662384634,N,170,2252,1795,-1,['807202098102341632'],1.0
263,2355669524,T,1,45415,1943,-1,['807202098102341632'],0.6699999999999999
264,770120186557034496,J,380,112445,1024,-1,['807202098102341632'],1.0
265,3347823074,O,81,29,1393,-1,['807202098102341632'],0.9366666666666666
266,2412615342,I,147,565,1911,-1,['807202098102341632'],1.0
267,839143865609256962,i,1,119,834,-1,['807202098102341632'],0.6699999999999999
268,784498245779197952,R,163,9177,985,-1,['807202098102341632'],1.0
269,954427716,M,142,4037171,2405,-1,['807202098102341632'],1.0
270,58128741,R,260,104184,3622,-1,['807202098102341632'],1.0
271,1354837015,C,243,147872,2256,-1,['807202098102341632'],1.0
272,786215587,r,404,52539,2486,-1,['807202098102341632'],1.0
